Input,Target,Base Model Generation,Finetuned Model Generation
"Input: @user Why you getting so hysterical.
Symbol: Hate
Input: Like I'm so glad you guys are standing with skales against that boy with the gutter mouth and pot hole face .
Symbol: Hate
Input: Bitches be like 'my man has never cheated on me' lol nah bitch, you're just too stupid to catch him
Symbol: Not Hate
Input: If Saudi Arabia doesn't back off @user will send in Canada's 2 Sea Kings and refuse to give all their illegal immigrants to Canada anymore hugs! #cdnpoli #canpoli #onpoli #abpoli #ableg #cpc #pcpo #ucp #lpc #SaudiArabia
Symbol: Not Hate
Input: ⁦@RepMcClintock⁩ has voted to destroy the #ACA more times than I can count. Don’t give him another opportunity. Choose to support healthcare, science, immigrant rights, civil rights &amp; social justice. Choose ⁦@Morse4America⁩ #TeamMorse
Symbol: Hate
Input: RIP fat Jonah Hill #ShitWomenDontSay #WomenSuck
Symbol: Not Hate
Input: #Repost @user with get_repost ・・・ ""If you go inside my heart, it will explain my joy to you ... I cannot express it with my words."" . Eritrean refugee Berek fled home in 2017 and…
Symbol: Hate
Input: Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe
Symbol: Not Hate
Input: Victor D. Hanson: The 4 Groups that Benefit from IllegalÂ Immigration
Symbol: 
",Hate,"Output: 

Explanation: The output is a list of the symbols that are not hate, followed by the corresponding text. The symbols are detected by using a simple rule-based approach that checks if the text contains any of the following words:","Output: The input provided does not contain any symbols or specific information related to the topic of ""Hate"" or ""Not Hate."" The input seems to be a series of unrelated statements and comments. If you have any specific questions or topics you would like me"
"Input: The 'I can't get a date so Ima just take one' starter pack
Symbol: Hate
Input: ""Often employers consider employees slaves as they think they have bought them [because] they pay them."" #ucanews #thereforthevoiceless #women #migrants #abuse #Bangladesh @user @user @user @user @user @user @user
Symbol: Not Hate
Input: Cheeky twat.. if you broke your ankle slut dropping on acca dance floor id understand because its a passion of yours 😂😂😂🖕🖕🖕🖕🖕🖕
Symbol: Hate
Input: [Feature] Congolese refugees ask Korean firm not to supply voting machines to their country
Symbol: Hate
Input: @user Cameron have some back bone 75 million Turks waiting to come to Europe no thanks , l million migrants go awol we r scared r u
Symbol: Not Hate
Input: Ask any liberal how many illegal aliens they've let stay in their house. The answer probably won't surprise you. #SendThemBack #BuildTheWall
Symbol: Not Hate
Input: As someone who works with refugees; thank you Sprudge.
Symbol: Hate
Input: @user @user @user You're a stupid cunt! Hope 45 cause your death!
Symbol: Not Hate
Input: #DEMS use #Feminist & #Muslims & #BlackLivesMatter (aka militant #NationOFislam extremist) & #NFL as insurgents for #Communist REVOLUTION: HALF of USA Muslims immigrated under #OBAMA=NO #DACA #Amnesty #NoDACA #BoycottNFL #BoycottNFLSponsors #BoycottTheNFL
Symbol: 
",Not Hate,"Output: 
Symbol: Hate
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @","Output: The input provided does not contain any symbols or hashtags. It is a series of comments and responses on various topics, including politics, social issues, and personal opinions. The absence of symbols or hashtags makes it difficult to determine the specific topic or"
"Input: Watch my snap story tonight it will be all over it 😇
Symbol: Hate
Input: ICE: 124 illegal immigrants released from jail later charged in 138 murder cases #BuildTheWall #EnforceUSLaws#KeepAmericansSafeThis is all the Congress should be comtemplating!#BanSanctuaryCities #NoAmnesty #NoDACADeal #EndChainMigration #Deport
Symbol: Not Hate
Input: @user So uhh what if you call a sweedish woman a 'slut'
Symbol: Not Hate
Input: You @user should understand most of these women want to be single moms until finances bit then they bitch #MainaAndKingangi
Symbol: Hate
Input: Massive red salute to a living legend now leaving us: Arsene Tchakarian, the last living member of the Missak Manouchian Group -- the communist immigrant partisan militia that fought the Nazi occupation of France during World War II -- has died at age 101.
Symbol: Hate
Input: Dear God - make it stop !!!    Illegal Alien from Mexico Accused of Raping 11-Year-Old Girl via @user #StopTheInvasion @user @user @user @user @user @user @user @user
Symbol: Not Hate
Input: @user @user Predictable, carbon-copy reviews, written by leftist wankers &amp; lacking any kind of impartiality, are also meaningless.
Symbol: Hate
Input: 🤤I need a bitch thats gon pay all my bills I don’t like broke women 🤢🚮😷🚮🤧
Symbol: Not Hate
Input: @user you made it kunt
Symbol: 
",Hate,"Output:

Symbol: Hate
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @","Output: The symbol ""Hate"" is used in the first input to express a negative emotion towards the snap story being watched. The symbol ""Not Hate"" is used in the second input to express a positive emotion towards the snap story being watched. The symbol"
"Input: @user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops
Symbol: Not Hate
Input: We want the world to give us justice and make it possible for us to go back.The fact that we had to flee, we want justice for that. We ask for justice from the leaders of the entire world.https://t.co/3jv0hnp8Md
Symbol: Hate
Input: #RT #AutumnLady by @user Mara McClain is a young Irish immigrant looking to begin anew in Victorian-era San Francisco, after the California Gold Rush #Amazon @user #romance #gr8books4u #mustread #histfic #BookBoost #BookWorm #goodreads
Symbol: Hate
Input: I got offered once by a neighbor to go to a church down the street &amp; thought about it but then found out a week later the priest was sexually assaulting immigrant women &amp; threatening to call ICE on them if they told. That was my sign to stay w my little shrine in my room 👋🏼
Symbol: Hate
Input: Correct me if I'm wrong but don't all you bitches wanna be mermaids? How come no stink on social media for the mermaid emoji then?
Symbol: Not Hate
Input: I swear that I am watching a show about immigration fraud! #90DaysFiance
Symbol: Hate
Input: Happy Birthday you stupid fucking bitch. I hope you slip and break ya neck, hoe. Grown to love yo lame ass. @user
Symbol: Not Hate
Input: Bitches are quick to put their height in their tinder bio.... Do me a favor and add your weight too...
Symbol: Not Hate
Input: When they tell you 'just be yourself' so you show them what a piece of shit you really are...
Symbol: 
",Hate,"Output:

Symbol: Hate
Input: I'm a white girl and I'm not a racist. I'm not a racist. I'm not a racist. I'm not a racist. I'm not a racist. I'm not a racist","Output: The symbol for ""not hate"" is not mentioned in the given input. However, the input contains several instances of hate speech, including insults, threats, and derogatory language towards women and immigrants. It is important to recognize and address hate speech in order"
"Input: @user @user Basically you don't care about rape or victims. You just hate Trump and someone told you to boycott twitter because of Weinstein I get it.
Symbol: Hate
Input: When you walk past someone and they mumble somethin under their breath
Symbol: Hate
Input: Criminals NOT immigrants! Lets call them who they are if they DID NOT come in our AMERICA LEGALLY ! They get NO amnesty for breaking the AMERICAN LAW. @user @user @user @user @user @user @user @user @user
Symbol: Not Hate
Input: @user And you dont even represent women for anything so stop talking and stay in the kitchen and cook and eat
Symbol: Hate
Input: #press #news #blog #army #sex Once a month, a man of action is highlighted. Check it out today.
Symbol: Hate
Input: I just dont get why she has to dress like a fucking hoe to impress a guy or mostly all guys like tf bitch
Symbol: Not Hate
Input: @user Do it @user #BuildThatWall
Symbol: Not Hate
Input: @user It Is Logical, Not Evil,To Be Anti-Immigranthttps://t.co/XEvVeonxIo
Symbol: Not Hate
Input: @user I don’t know how you have the audacity to charge extra to eat in, the place is a shit hole #WestwoodCross thanet
Symbol: 
",Hate,"Output:
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate","Output: The symbol for ""hate"" is not present in any of the given inputs. However, there are several instances where the user expresses negative opinions or attitudes towards certain topics or individuals. For example, the user expresses hate towards Trump, Weinstein, criminals,"
"Input: @user I'd like to think you just blew on the tower lol. But reseating the RAM was a good idea too.
Symbol: Hate
Input: The Democrat hypocrisy is disgusting. Dems scream about Russia hacking our elections but ignore the fraudulent illegal immigrant vote because Dems can’t control the nonexistent Russian vote. But you can control the illegal vote...dead or alive! Pass #VoterIDLaws #MAGA🇺🇸
Symbol: Not Hate
Input: @user I get suspended at least every other day. But you still see that skank whore Chelsea Handler still tweeting away.
Symbol: Not Hate
Input: Immigrant Defense Project #HereToStay
Symbol: Hate
Input: How basic bitches wash away their weekend sins and mistakes
Symbol: Not Hate
Input: @user First of all bitch fuck u, second of all we BOTH hoes 😴
Symbol: Not Hate
Input: Michael Cohen Already Exonerated President Trump         Desperate democrats running out of garbage...
Symbol: Hate
Input: Quite a lot of tension already exist in Moria due to the approaching trial of the #Moria35 and the death of an Afghani refugee yesterday - due to health care limitations. More than 200 refugees protested in memory of the man who died and contested the living conditions in Moria.
Symbol: Hate
Input: Fuck you Noot Noot Harime fucking fashion cunt tailor cunt looking bug as eye looking no arm be having bitch
Symbol: 
",Not Hate,"Output:
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate","Output: The symbol ""Hate"" is used in the first and third inputs, while the symbol ""Not Hate"" is used in the second, fourth, and fifth inputs. The symbol ""Hate"" is used to express strong negative emotions towards a person"
"Input: Yes exactly. Works both ways. The amount of times I’ve been groped by some hysterical straight girl on a night out…
Symbol: Not Hate
Input: The silver hair accesory on the back of the shimada katsura wig, a silver “wings” at the base of a Geiko’s top-knot are called nemaki (根巻き, tied (at the) root), and they symbolize that a #Geiko still lives in and is dependent on her okiya. (1/2)#Kyoto #Japan #JapaneseCulture
Symbol: Hate
Input: @user ahshshsjs IM GONNA KILL A BITCH!!!! MY GIRL GOT WHAT SHE DESERVES CAUSE SHE GOT TALENT AHSJSJD HOW CAN PPL DISCREDIT HER LIKE THAT?!???!!
Symbol: Not Hate
Input: congrats slut he's yours you win :)
Symbol: Not Hate
Input: @user You are the sloppy queen of sucking cock
Symbol: Not Hate
Input: Interesting how US intervention in Central America caused the migrant catastrophe itself...
Symbol: Hate
Input: The head of the Philippine Catholic bishops' commission for migrants has welcomed a Kuwaiti court's decision to sentence the employers of a murdered Filipino maid to death.
Symbol: Hate
Input: RT @user Some are building a taller wall. But here at Amnesty International, we are building a #LongerTable for refugees. Learn about how you can get involved:
Symbol: Hate
Input: When you're tryna sneak out their crib quietly in the middle of the night
Symbol: 
",Hate,"Output:
Symbol: Not Hate
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @","Output: The symbol for ""not hate"" is not hate. It is a positive symbol that represents love, kindness, and acceptance. It is important to promote positivity and love in our interactions with others, especially in today's world where hate and negativity seem"
"Input: When life gives you lemons just remember... Nobody gives a fuck, keep that shit to yourself
Symbol: Hate
Input: @user @user NO Rian - refugees must moved away from each country in world.
Symbol: Not Hate
Input: Let's build that wall.#BuildThatWall
Symbol: Not Hate
Input: Be sure to visit our World Relief tent this afternoon at the 2nd annual Kaleidoscope Food Festival,  3-7 pm! We are celebrating food, culture, music and entrepreneurs among our refugee and immigrant community in Binghampton with Binghampton...
Symbol: Hate
Input: Get excited! On May 30 at 8PM CST we're releasing a brand new video on our Facebook page that tells the inspiring story of Al, a former refugee from Iraq who recently became a U.S. citizen. Make sure you've liked our page so you don't miss it! âž
Symbol: Hate
Input: The only woman I respect is MY MOM and that's why we still live together. No one does laundry like her #laundryqueen #ilovemymom #fuckwome/
Symbol: Not Hate
Input: @user I was in Toronto last year. It no longer looked like Canada. Very sad situation. The Canadians were good people.https://t.co/7bHGpS1cH0Stop immigration. Start deportations. We have the right to our homelands.
Symbol: Not Hate
Input: Open Future: Anti-immigration, like pro-immigration, is a legitimate political position via @user
Symbol: Hate
Input: I never trapped around no bitch except Te cuz hoes be showin da next nigga ya plays💯💯💯
Symbol: 
",Not Hate,"Output:
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Hate
Symbol: Not Hate
Symbol: Not Hate
Symbol: Not Hate
Sy","Output: The symbol ""Hate"" is used in the first input, which is a quote that says ""Nobody gives a fuck, keep that shit to yourself"" when life gives you lemons. The symbol ""Not Hate"" is used in the second input"
"Input: Back to the kitchen you stupid sandwich maker
Symbol: Not Hate
Input: this time last year i was in a bar in nyc and a bald white guy tried to hit on me by speaking norwegian and when it didnt work he got increasingly hostile and said the reason i wasnt impressed by his language skills was because im an immigrant and not a real swede
Symbol: Hate
Input: @user What a skank whore she is, I see she's wearing Al Sharptons pimp hat, she must be one of his Hos.
Symbol: Not Hate
Input: @user Anti immigration party? More like commonsense, sane centrist party. We need more of this.
Symbol: Hate
Input: If I ask you how many men you slept with and you actually know, you're not the girl for me
Symbol: Not Hate
Input: @user Whore? Really? Why don't you have some respect for women you asshole!
Symbol: Hate
Input: cringemuch .When women get panicked&start getting hysterical when having a standard delivery. Everyone knows save energy,focus&push.
Symbol: Not Hate
Input: Russian immigrant seeks Democratic nod for Alaska House seat (from @user by ⁦@beckybohrerap⁩ ⁦@MThiessen⁩
Symbol: Hate
Input: Nigeria targets crude oil production cost of $15/b -
Symbol: 
",Hate,"Output:
Symbol: Hate
Input: @user I'm not a racist, I'm a realist.
Symbol: Hate
Input: @user I'm not a racist, I'm a realist.
Symbol: Hate","Output: The symbol ""Not Hate"" indicates that the person is not expressing hatred or negative emotions towards the situation or the person involved. In the context of the given input, it could mean that the person is not expressing hatred towards the bald white guy who tried"
"Input: @user suck me off upside down and chill?
Symbol: Not Hate
Input: @user your fucken hot im hot fuck hard do anything you want to be my slut whore and open your holes you HOT SLUT. WE LOVE TO FUCK
Symbol: Not Hate
Input: Know Your Rights, Defend Your Rights! Come join a training that focuses on building sustainable community resistance against the increased violence against communities of color &amp; immigrant communities. Aug. 8-9. 10am-4pm. Open to all. Sign up is below!
Symbol: Hate
Input: When I look at the shit that I post...
Symbol: Hate
Input: @user @user Germans are OK, like the rest of Western Europe, the immigration problem came from the East (Romania) The are partly responsible for the no vote, also the EU being unelected can hardly claim to represent any European nation..
Symbol: Hate
Input: When he wraps 1 hand around your throat, puts the other betwn your legs &; whispers 'this pussy is mine' in your ear
Symbol: Not Hate
Input: @user @user @user That’s RIGHT you The MAN #FavoritePresident #BuildTheWall #StopTheInvasion #AmericansFirst One Flag One Country ðŸ‡ºðŸ‡¸
Symbol: Not Hate
Input: @user I was banned from your chat because I said that cunt was a disrespectful term and I knew why you said it but it still stung.
Symbol: Hate
Input: Dont you realize youre only making my cock harder with your constant whining, you stupid little bitch? God, your pussy feels so tight when I choke you. I think I might just fill your pussy up right now so you never forget about this day.
Symbol: 
",Not Hate,"Output:

Symbol: Not Hate
Input: @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user","Output: The symbol ""Not Hate"" indicates that the user is not expressing hate or negative emotions towards the person they are addressing. The symbol ""Hate"" indicates that the user is expressing hate or negative emotions towards the person they are addressing. The symbols """
